species,pos_count,auc,,,
brtpar1,93,0.736382197,,,
566513,26,0.768330824,,,
linwoo1,345,0.777153036,,,
bkmtou1,334,0.768660603,,,
66578,2,0.774125871,,,
rumfly1,299,0.768495671,,,
roahaw,711,0.755619707,,,0.758842707
bicwre1,106,0.729514835,,,
41970,15,0.788641723,,,
pirfly1,436,0.758619082,,,
rebbla1,62,0.761959286,,,
sahpar1,14,0.766171387,,,
orcpar,274,0.717659943,,,
bobfly1,576,0.737764818,,,
gycwor1,380,0.741734481,,,
66531,2,0.72379926,,,
spbwoo1,50,0.748625406,,,
y00678,171,0.765369522,,,
colara1,58,0.800856102,,,
blhpar1,253,0.743097949,,,
strfly1,400,0.778359223,,,
strcuc1,475,0.77698424,,,
grekis,1479,0.784619315,,,
wbwwre1,505,0.714409466,,,
yebfly1,227,0.720405032,,,
21211,76,0.801664653,,,
whfant1,139,0.768718197,,,
creoro1,280,0.74946717,,,
1462737,7,0.785609849,,,
spepar1,86,0.752806502,,,
blchaw1,54,0.761414558,,,
sobtyr1,527,0.774283803,,,
chbant1,313,0.718503879,,,
compau,852,0.795351177,,,
blcant4,110,0.702833394,,,
22973,53,0.780504838,,,
greibi1,125,0.767191126,,,
bobher1,42,0.749032551,,,
126247,6,0.738567209,,,
stbwoo2,238,0.772411986,,,
1139490,2,0.753827855,,,
palhor2,71,0.763424629,,,
gybmar,175,0.76627643,,,
purgal2,151,0.751861336,,,
woosto,31,0.758053773,,,
crcwoo1,154,0.75855871,,,
1564122,6,0.757746864,,,
523060,4,0.764516126,,,
babwar,167,0.756770442,,,
trokin,975,0.748068402,,,
48124,20,0.743074609,,,
srwswa1,131,0.772348559,,,
963335,5,0.784625813,,,
42113,2,0.774736665,,,
trsowl,481,0.768662346,,,
1462711,3,0.7834154,,,
66016,2,0.761922278,,,
rufmot1,104,0.73452347,,,
cargra1,108,0.774138726,,,
67252,14,0.787168145,,,
mastit1,120,0.761759201,,,
rosspo1,38,0.762750676,,,
leagre,111,0.753865869,,,
crebob1,58,0.757959356,,,
528041,2,0.783103922,,,
blcjay1,116,0.761957812,,,
bafibi1,30,0.782198293,,,
yeofly1,551,0.754783894,,,
yectyr1,129,0.756538878,,,
littin1,361,0.722197038,,,
smbani,329,0.811569557,,,
555142,6,0.766782686,,,
eardov1,119,0.734828706,,,
plctan1,7,0.746526311,,,
fotfly,83,0.760968496,,,
65962,21,0.761917348,,,
65373,32,0.748108935,,,
grasal4,100,0.797132463,,,
50186,30,0.797448946,,,
whtdov,881,0.790898927,,,
compot1,394,0.736612853,,,
greani1,151,0.756118984,,,
cinbec1,85,0.747942833,,,
whwswa1,51,0.731686506,,,
blctit1,32,0.740697318,,,
65336,6,0.782053716,,,
blkvul,73,0.754040831,,,
laufal1,486,0.75940467,,,
socfly1,618,0.761110957,,,
1346504,5,0.787076631,,,
greegr,351,0.759032767,,,
yebsee1,200,0.740537558,,,
rutjac1,312,0.772100399,,,
anhing,96,0.760073181,,,
whbant1,115,0.729671158,,,
cocher1,42,0.767997723,,,
21038,2,0.735785146,,,
thbeup1,185,0.768147662,,,
1194042,3,0.787360207,,,
soulap1,601,0.784305855,,,
strowl1,165,0.746674596,,,
65547,8,0.751065018,,,
crbtan1,86,0.773016985,,,
868458,4,0.772547174,,,
grnkin,135,0.779399564,,,
speowl1,203,0.711707841,,,
yehcar1,248,0.798589741,,,
555086,25,0.736947856,,,
cattyr,120,0.756868275,,,
rugdov,248,0.795386382,,,
24272,6,0.738549781,,,
norscr1,14,0.776372607,,,
65448,84,0.77077447,,,
amakin1,93,0.771879205,,,
baymac,193,0.757149167,,,
tbsfin1,40,0.759331933,,,
whmtyr1,35,0.739530641,,,
rubsee1,71,0.802948464,,,
amekes,409,0.738908813,,,
64862,2,0.707026652,,,
watjac1,152,0.790180581,,,
banana,714,0.716432961,,,
21116,2,0.780504783,,,
67082,2,0.764168085,,,
grbhaw1,107,0.74453842,,,
47067,2,0.795792324,,,
yercac1,381,0.768949176,,,
52884,33,0.767198549,,,
66893,5,0.764261434,,,
81930,2,0.770912811,,,
neocor,119,0.718578355,,,
cotfly1,337,0.796923386,,,
ragmac1,92,0.749974845,,,
butsal1,302,0.703902021,,,
blbwre1,135,0.77436942,,,
42007,19,0.783901425,,,
piepuf1,59,0.766114241,,,
colcha1,160,0.774912937,,,
rtlhum,164,0.738223245,,,
savhaw1,54,0.766003147,,,
65419,3,0.757499102,,,
715170,17,0.778092576,,,
yecspi2,272,0.759211844,,,
secfly1,168,0.721196311,,,
65349,16,0.754743856,,,
787625,7,0.726815028,,,
thlsch3,97,0.745028833,,,
714022,5,0.728054361,,,
65344,16,0.751108495,,,
pavpig2,206,0.762776588,,,
rinkin1,238,0.793396106,,,
1192948,4,0.754972875,,,
olipic1,40,0.744560935,,,
verfly,69,0.76071914,,,
476537,2,0.717469788,,,
solsan,238,0.813784068,,,
royfly1,40,0.770879678,,,
rutpuf1,20,0.738511296,,,
135045,10,0.740226855,,,
labter1,70,0.757844603,,,
24322,13,0.755490456,,,
24292,3,0.762914482,,,
recwoo1,134,0.787433322,,,
ampkin1,28,0.739665387,,,
gohman1,135,0.730334561,,,
bkcdon,196,0.754234816,,,
bbwduc,445,0.781527829,,,
chfmac1,155,0.749408506,,,
whttro1,83,0.739064735,,,
tropar,439,0.716144759,,,
shghum1,15,0.750206227,,,
yelori1,67,0.754187754,,,
blbgra1,468,0.758098915,,,
piwtyr1,21,0.783673088,,,
22333,47,0.774721255,,,
grepot1,70,0.735377226,,,
bucmot3,53,0.774786598,,,
gretin1,95,0.735048323,,,
cocwoo1,198,0.782797059,,,
turvul,11,0.738,,,
grysee1,25,0.738,,,
yehbla2,84,0.780510237,,,
46010,5,0.737,,,
476538,6,0.773483848,,,
yebela1,363,0.774124186,,,
bugtan,361,0.788298739,,,
548639,5,0.741885509,,,
saffin,521,0.757984026,,,
134933,4,0.744804747,,,
bubcur1,20,0.724048949,,,
whbman1,261,0.73433506,,,
cregua1,85,0.742597759,,,
strher,174,0.756842064,,,
snoegr,115,0.781044537,,,
22976,46,0.767564438,,,
paltan1,277,0.749776823,,,
bubwre1,436,0.744473652,,,
42087,2,0.723,,,
ruther1,85,0.781334917,,,
41663,108,0.737677722,,,
shtfly1,90,0.793985789,,,
plbwoo1,195,0.796222135,,,
plukit1,38,0.793176272,,,
ywcpar,156,0.771864917,,,
517119,58,0.759541597,,,
41778,2,0.663,,,
